Concept,raw,o2r,CodeMeta,DataCite,RADAR
Author,Author,Author,agents,creator,creator
AuthorAffiliation,AuthorAffiliation,AuthorAffiliation,affiliation,affiliation,creatorAffiliation
AuthorId,AuthorId,AuthorId,@id,nameIdentifier,-
AuthorName,AuthorName,AuthorName,name,creator,creatorName
Dependency,?,dependencies,dependencies,-,-
Description,abstract,description,description,description,description
ErcIdentifier,ErcIdentifier,ErcIdentifier,-,-,-
GeneratedBy,GeneratedBy,GeneratedBy,-,-,-
Keywords,keywords,keywords,keywords,subject,keyword
Language,language,language,-,language,language
License,-,-,license,Rights,rights
PersistentIdentifier,identifier,-,identifier,identifier,identifier
PublicationYear,-,-,datePublished,publicationYear,productionYear
Publisher,publisher,publisher,publisher,publisher,publisher
SubjectArea,-,-,tags,subject,subjectArea
Title,title,Title,title,title,title